,職位,總分,標題,評論,優點,缺點,勞逸平衡,薪酬/福利,工作保障/升遷制度,管理層,工作文化
79,営業,4.0,営業として自分をチャレンジすることが多いです,研修時に営業力についての基礎知識をたくさん学びました。研修が終わったらに直接にお客様に対応しました。前職で学んだこと幅広い分野にわたりました。例えば同僚との人間関係、上司との上下関係、接客の芸術などはあります。自分にとって一番楽しいことはお客様のご希望に合った商品を紹介して毎月の実績がどんどん上がることです。一番大変なことは当社の商品を買う意欲の低いお客様を説得することです。しかし、そのようなお客様が当社の商品を納得するようになるとするのは自らの目標と嬉しさです。,,,4,3,3,4,2
80,Sales Director,2.0,Another Asian company,Great experience working for ASUS.  Quickly left after two years of ownership transformation.  Quality was not the number one focus.,,,3,3,3,2,2
81,Gestor de ventas,5.0,Grato ambiente laboral,"Siempre lo primero que realizaba era si es que existía algún cambio en los precios de mis productos, luego limpiaba mis productos todo esto lo realizaba unos 12 minutos antes de mi horario de trabajo para que al momento de iniciar mi horario de trabajo estuviese listo para poder empezar atender a los clientes ya que la competencia en lo que es ventas uno no se puede quedar dormido. lo que mas me gusta de mi trabajo era poder entregarles a las personas el mejor asesoramiento y que se llevaran el producto que mas satisface sus necesidades. lo mas difícil del trabajo es soportar los extensos horarios de estando de pie.",,,5,5,5,5,5
82,ASUS AUTHORIZED SERVICE CENTER,5.0,Just fun with my ladey boss,"Our management is good,they are so friendly,my boss also.My boss such a good person she so friendly,look like a friend,she always take care in every workers",Free lunch,Short break for good health,5,5,5,5,5
83,Supervisor Sr.,1.0,"excelente marca, falta difusion y promocion de la misma en Mexico","Excelente marca de tecnología, área de oportunidad administración de la marca en: Estrategia, Comunicación y Resurtidos para generar mayor volumen de venta.",excelente equipo de trabajo,no pagar alcances o comisiones,1,3,4,1,2
84,管理師,5.0,公司文化好 福利好 同事之間相處好 主管會推薦升遷,進到公司 就負責製作全球客服中心客戶所需之ORDERBOOK，負責拆組裝筆記型電腦，以取得內部零件拍攝，製作成HTML版的訂單寄給全球客戶。,,,5,5,5,5,5
85,Productie/Operator,3.0,Een leervaardig bedrijf,Je leert er veel van computers.,Bedrijf heeft rare regels.,Tempo werk,4,4,4,1,5
86,Software RD,4.0,創新但不太留得住人,很多新產品可以學習和開發，上班的氛圍環境比較自由。,,創新自由,4,4,4,4,5
87,Gerente Regional de Vendas,4.0,Empresa Tailandesa de tecnologia de informática,Empresa Tailandesa de tecnologia de informática e franca expansão no mercado brasileiro.,Nada a declarar além disso,,0,0,0,0,0
88,固件工程師,4.0,工作強度大，但氛圍好,公司优点： 工作氛围很好，年轻人很多，人际关系简单,意见和建议： 减少无用的加班，分清员工权责,,3,4,4,3,4
89,Customer Service Rep/Tech,4.0,Productive and fun place to work,"it was a very good experience, I provided technical support and customer service. The management is very organized and there are many opportunities for advancement within the company.","Free, lunches etc",None,4,4,4,4,4
90,Publications,2.0,A not-so fun place to work,"For those who are starting in the workforce, this company is good for learning the basics. But if it's for career growth, expect nothing from this company, because the management will take your accomplishments as theirs, without giving compliments/praises.","Free lunch, bonuses","You have to work beyond office hours, even if it means you have to stay the whole night.",0,0,0,0,0
91,Customer Loyalty Representative,3.0,You have job security if your premanente,"Its hard to get raises and benefits.If you show your work skills, there is more growth within the company. It is somewhat political.",job stability,"salary/ pay, upper management",4,2,2,1,2
92,sales manager,5.0,productive and good experience,a full day work,the most enjoyable part of the job is serve the customer,,5,5,5,5,5
93,Customer Loyalty Management,4.0,Not Bad,"The hiring process is unorganized, there was no real training procedure set up. Once I got started other employees made the start very easy for me.",,,4,3,4,4,3
94,Analista/Programador,2.0,Empresa com dificil relacionamento entre funcionarios,"Empresa muito fechada, não aceita opniões dos funcionarios.",,,3,4,2,2,2
95,Tier 3 Tech Support Rep,4.0,Great people to work with.,"I worked in tech support for system builders, very high stressful job and learn new things everyday. I loved working there but they did not give me a raise in the 5yrs I was there, even when I was promoted to escalations tech.",Great environment,Pay increases did not exist.,5,3,3,5,5
96,gitex,5.0,it was a wonderfull work experience,"it was a real tiring day speacially the last day. i learned how to deal with customers , how to communicate with them.",the hardest part of the job was to stand all day for 12hours and the most enjoyable part was dealing with customers.,,5,4,4,5,5
97,Onsite Coordinator/Manager,3.0,No fun it is all about work,long hours have been working from  7am to 11pm.  never meet any of my Hr dpt or many of colleagues.,Benefits,"Long hours, not paid well",4,5,3,2,2
98,Global Social Media Manager,1.0,"A culture of overwork and underpay, with little care for the employee's longterm career goals.","***Please note that this review is for HQ in Taipei, Taiwan, though some of it applies to the US and other global offices.***","I would not recommend working at ASUS as it may frustrate you to no end. A typical day usually starts at 9-9:30am, though it routinely ended around 8-9pm. This is the work culture in Taiwan, where you're expected to work as hard as your manager (ie, stay until they leave), who in turn has to work as hard as their director. It's a cascade effect as most managers are in the office until 10-11pm.", ,1,1,2,1,1
99,sales executive,5.0,gud company,gud and very yhouthfull to us .,This is the very grace full to inmarket and make beautiy,,5,4,4,4,4
100,promotoria,3.0,es un trabajo bueno,"tienes el apoyo de todos los que trabajan en esa empresa en cualquier duda o problema que se te presentaba en el día ya que te apoyan con un celular para que puedas comunicarte con ellos ,los compañeras son muy amables y te ayudan sin tienes dudas, lo difícil es que luego te cambiaban de lugar de tienda en cualquier momento pero lo bueno es que to colocaban cerca de casa",buen sueldo,no teníamos bien dicho lo de las cuotas,4,4,2,2,3
101,Director of Business and Marketing Intelligence,5.0,Productive and creative place to work,Day begins at 1000 and goes to 0000,I was the management,Co-workers were splendid open-minded and helpful creative aspirants ,5,5,5,5,5
102,Computer repair technician,4.0,Right Place for IT Professional,We was start working at 8:30 and we had 1 day off in week in totally this company is very good company for IT Professional specially repair technician.,"Benefit, appreciate in work",our office little bit small,4,4,4,3,4
103,Technical Marketing Coordinator,4.0,"Strong teamwork, but unrewarding",I do enjoy my job at ASUS. The coworkers and my manager have always treated me well even when the work seemed impossible at times. Keeping up with the latest products and their information is always exciting. The hardest part of my job was making sure my priorities are in check since I personally work with 3 managers/supervisors at a time. Making sure that they all aware of my work lets them know of my workload and the multiple tasks needed from them will come once notified. The portion I enjoy most is the teamwork involved with projects needed to be handled. Everyone is more than capable handling their assigned tasks in certain time frames and there is hardly any dead weight.,Amazing coworkers,General management style and workload,2,3,3,2,3
104,Field Service/ Special Projects Supervisor,4.0,Electronic Repair Service,"Mother board mfg repair company. Working on top technology mother boards, and business servers. Traveled much of the time dealing with customers, tasked on repairing and upgrading customer product. Working along side well skilled hard working people. The hardest part was also the most enjoyable part of this job. Working on the top motherboard technologies on a large scale, keeping up with a growing market.","great benefits, advancement opportunities, team building",some long days,3,4,4,3,3
105,管理師,5.0,公司文化好 福利好 同事之間相處好 主管會推薦升遷,進到公司 就負責製作全球客服中心客戶所需之ORDERBOOK，負責拆組裝筆記型電腦，以取得內部零件拍攝，製作成HTML版的訂單寄給全球客戶。,,,5,5,5,5,5
106,Product Engineer,4.0,Productive and learning environment,"A typical day, check emails, have meetings internal and external.",,good learning environment,0,4,3,3,4
107,Sr. Subcontracts Administrator,2.0,Company Misrepresents its Opportunities,A typical workday begins at 7am and does not end until the late evening hours for salaried employees. You can expect to work 70+hrs per week.,The company does provide continuing education via on-line classes.,,1,3,2,1,2
108,Parts Puller,4.0,Good Enivroment,Co-workers easy to get along with. Climate-control warehouse,"good benefits, paid time off",work schedule,4,4,4,4,4
