,職位,總分,標題,評論,優點,缺點,勞逸平衡,薪酬/福利,工作保障/升遷制度,管理層,工作文化
11,Equipment Technician,3.0,"Tough industry with good people, but I stressful work culture","Semiconductor manufacturing is stressful no matter the employer, but the culture is a difficult transition and requires immense energy. Great benefits but difficult to advance.",,,2,5,3,3,3
12,Module Process Engineer,2.0,"Managers were very kind, HR is a mess","Managers were kind, patient, and encouraging. HR does not listen to employee concerns or take them seriously. Had to have multiple phone calls with three different people and not one of them heard my concerns.",,,3,3,3,3,2
13,Principal Engineer,2.0,Military style of management,"True micromanagement, no personal freedom in office, most roles are expected to receive ""urgent"" phone calls 24 hours everyday, company values tools and wafers more than employees",Job security,"Hierarchy, long working hours, lack of creativity",1,3,3,1,1
14,Engineering,3.0,"Fast paced, stressful",Good salary and the work environment is comfortable. Bad work life balance.,But there is always a learning every day and all you have to do it to open for unlimited learning,,1,4,5,4,2
15,"San Jose, CA",3.0,"Industry leader, asian management style","Depend on the department. In general, it is a big company with big future. However, a company's success isn't equal to your success. Low comp in the bay area. Toxic culture in my department. The job level has the say. ","Health insurance, job security, company prestige","No WLB, bureaucratic & political, insufficient diversity, smart phone is not allowed in the office",1,2,4,1,1
16,"Taiwah, OK",3.0,good,"is good ok people, interesrting place, everyone have different perspective about the company but I think is good for people who are very serious with work and can do long hours",good pay,long hours,3,0,3,3,3
17,Intern,5.0,Top technology,Top company with top technology. Team members are like family helping each other. Top bonus and top facilities to work with. Nice management and benefits.,Top technology to learn,Long hours,5,5,5,5,5
18,技術員,5.0,工作環境好，餐飲供應棒,想進台積電要想清楚，壓力大，品質要求高，工作步伐快，抗壓性真的要足夠，但薪資真的很好，自己離職繞了一圈很想回去,有宿舍，交通車,壓力大，步伐快，,5,5,5,5,5
19,Engineer,3.0,Ok,"It was okay to work here and too much inter-department politics, which affects the work culture. Also, not a great work/personal life balance.               ",,,1,2,3,1,1
20,Analyst III,2.0,Low salary and long working hours,"Living in bay area, the salary is below the average.",,"If you are just graduated, good place to practice. And, might be proud of you are in a leading company ??",2,4,5,1,2
21,技術員,4.0,工作環境雖然緊張高度壓力，但仍為工作目標前進。薪資福利很棒環境也很棒~,深呼吸睡飽展開一天的忙碌，充滿高壓環境的工作，面對周圍都是優秀分子的環境，總會緊張但充滿期待工作會生的新奇事~,,,,,,,
22,"Manufacturing Supervisor, Planner, Shift Leader, and Backup Section Manager",5.0,Excellent working environment and family-like colleagues.,"Meetings are high-pressured and in a very fast-pace. Highly credential and clean working environment. Excellent facilities, like coffee bars, 7-11, and ATM within the dining area. The yard is huge with lakes, the gym, and bathroom are available as well.",,,5,5,5,4,4
23,Project Leader Engineer,4.0,Advanced technology design environment,"advanced technology design environment such as 5nm or 3nm. To solve the customer issues for advanced process, there are a variety of problem about deep sub-micro process.",,,4,4,4,4,4
24,Administrateur systèmes et réseaux,4.0,Mobilisation d'une mission,"Réunion de concertation guidée reliant tous nos relais distants, les chefs de département expliquent le détail de leur préparation et leur plan d'action pour la préparation.","C'est agréable en fait de travailler dans cet environnement où l'information circule assez bien, évitant par là un bon nombre de tension et de perte de temps.",,4,3,4,4,4
25,CP  test engineer,4.0,薪資高,薪資優於業界，考績在平均水平就有還不錯的分紅，但主管要求多，工作氣氛較緊繃。有時候因為要support客戶，可能會比較晚下班，或甚至輪大小夜。,薪酬高，工作穩定,工作壓力大，常常要注意自己做的事情會不會被挑毛病,4,4,5,3,3
26,Equipment Technician,1.0,Run from this job,20 years of poor maintenance and lack of craftsmanship has left this place a leaking mess. There is no money for spare parts. On call engineering will give a laundry list of do nothing tasks to buy time.If you desire a position with a level of satisfaction for a job well done this is NOT for you.,,,3,2,1,1,1
27,Customer Service Associate,5.0,Challenging and rewarding,Working days and times vary based upon management need and customer demand.  I have learned about government contracts and financial obligations related to that.  The management is flexible and the culture is mostly laid back unless an unexpected deadline from a customer happens.  The hardest part of the job is completing the required 30-tab spreadsheet for DCAA annually.  The most enjoyable part of the job is traveling various places to meet the clients and demonstrate our product.,Flexible hours,No benefits,5,3,3,5,5
28,Manager,3.0,Stable but not easy to survive,Compensation & integrity is not a problem. ,Very knowledgeable people., ,1,5,5,2,2
29,Customer Support Specialist,3.0,typical and traditional Asian company,1. the colleagues are gossip,3. traditional Taiwanese management ,"4. have to prepare the ""SHOWs"" to entertain those high level managers",1,1,2,1,1
30,Customr Engineer Manufctuin suppor,4.0,semiconductor manufacturing,"people are really courteous and helpful. everything is fast phased and stressful sometimes. very secure place with lots of security measures, cannot use any storage devices that includes personal phones",,,4,4,4,4,4
31,PT,4.0,學到最多的工作,在這個工作中，才了解到做工，是個很不簡單的事情。在別人眼裡他們不起眼，但卻不知道我們生活需要的東西，包括道路，房屋等等，都是需要他們打拼我們才可以使用，他們才是最辛苦，最認真的人。,,,4,5,3,4,4
32,Planning and Sales Operations Specialist,2.0,Fast paced working environment,"Coworkers are smarts and talented. Employee is able to work from home sometimes for sudden and urgent needs. Benefits like 401K, health insurance is good.",Pls refer to previous review.,"Long working hours, poor upper management, Need to standby on the weekends with no additional compensation.",2,2,2,1,1
33,OPC R&D Engineer,3.0,Work like you are in an army.,"Just do it and obey. everyone acts like he/she is busy. Everything is confidential, do not expect to learn new technology. Management is terrible, unprofessional supervisors favor unprofessional workers who are close to them. Culture is unacceptable, everything is trial and error. The hardest part of this job is humanity. Nothing is scientific.",Discount everywhere around the city by showing your badge.,"Poor culture, terrible management.",1,1,1,1,1
34,Intern,5.0,Great Company,"The company was nice to interns and held lots of useful workshop for us. Learn a lot in my project not only on technical skills, also on communication skills. Nice experience.",,,5,5,5,5,5
35,Sr Layout Engineer,4.0,Always in line with time and technology progress,"If you want to work with latest technologies, the best place to be.",,,,,,,
36,Process Integration engineer,5.0,薪水好,"工作辛苦, 學習機會大, 薪水給的比台灣平均水準高 同級產業做到最先進的製程 可以學到很多最先進的技術",,,3,4,3,4,4
37,Customer Support Specialist,3.0,No Work/Life Balance,Long working hours but comparatively lower salary. ,"Job security is high, but not much advancement after a few years. ",Promotion is slow and based on seniority not performance.,2,4,3,4,3
38,Principle Engineer,4.0,Quick pace and high technology gaining,TSMC is full with hard working employment. People are always pursuing the best manufacturing solution.,"Well payment, skill improvement",Long working time,4,4,4,4,4
39,Principal Engineer,4.0,Na,"Doctor of materials science and engineering from National Chiao Tung University, majoring in 3D IC packaging, nano-twinned copper plating and growth mechanism, and metallurgical interaction in microbumps. Currently working in Taiwan Semiconductor Manufacturing Company Limited as principle engineer.",Welling to look for oversea Job requests.,,4,4,4,4,4
40,ingénieur de production,4.0,le management,"une entreprise ambitieuse dans le domaine de semi-conducteur, le management est stricte et sérieux. Beaucoup de challenge et responsabilité pendant le travail.",renboursement sur le logement et repas,salaire n'a pas de compétitivité,5,3,5,5,3
41,Technician,5.0,I worked a shift job,"VERT TIRED and CHALLENGING TASKS. But is does a good company which offers good benefits. I resigned this job about 2 years ago, despite I said it is a good company, but it is really capable of raising your stress of life.",,,3,4,5,4,4
42,技術員,4.0,工作環境雖然緊張高度壓力，但仍為工作目標前進。薪資福利很棒環境也很棒~,深呼吸睡飽展開一天的忙碌，充滿高壓環境的工作，面對周圍都是優秀分子的環境，總會緊張但充滿期待工作會生的新奇事~,,,,,,,
43,Senior Design Engineer,4.0,good stable company to work for,a small design center with small design teams working on a variety of projects. ,reasonable management. ,may feel isolated from time to time due to the size of the site.,4,4,3,4,4
44,TCM工程師,4.0,工作環境好,工作環境薪資好，但內部派系分明，18過後主管下班後，員工易肆意妄為。,主管易偏頗自己人。,,4,4,4,3,3
45,Sales Operations Manager,5.0,Klasse Arbeitgeber,interkulturelle Zusammenarbeit,Super Team, ,5,5,4,5,5
46,Sales Operations Manager,5.0,Super Unternehmen,Tolles Team,Eigene Verantwortung,Englisch als Unternehmenssprache,5,5,4,5,5
47,Process Engineer Intern,5.0,Excellent.,Thanks for the opportunity provided by TSMC for me to spent my summer in Taiwan. My mentor and boss are very nice and I certainly learned a lot from them. The environment is good as well.,,,5,5,5,5,5
48,Operator,5.0,Productive workplace,"The most important thing about this job is that you have to treat it so serious you can not relax for even one minute, because if you did not do that then you would probably make some mistake ",,stable,2,4,5,3,5
49,Bradley Square Mall Public Safety Officer,4.0,Great company and place to work for.,Great location and money for the work. Patrons and tenants do not respect us as we respect them due to they feel not safe because of liability and policy issues prevent us from basically doing anything except call the police.,"Not hard work for the money, great sense of a team",Almost no advancement opprotunity except going from part time to full time,4,1,3,3,4
50,Assistant Finance and Accounting,3.0,Assistent Finance and Accounting,"leuke gezellige team waar je vanelkaar kunt leren. Internationaal cultuur, afwisselend en uitdagend takenpakket.",flexible en leuke collega's,te kleine team om promotie te maken,3,3,3,3,3
51,DFT Engineer and Senior Logic Design Enginer,5.0,It is a very dynamic place with lots of fun and interactions with peers,"A typical day at work is where you get to interact with so many other departments and you get to meet other peers. Besides work, we go out for coffee and lunches.",,,,,,,
52,Senior Inside Sales Specialist,4.0,Very friendly family oriented working environment,"The hardest part of the job is work/life balance due to all the fabs are in Asia, therefore, kind of working 2 shifts everyday.",,,3,4,4,3,4
53,Employee Relations and Compliance Administrator,4.0,"Great people, hard work","It's a good company. If you like to work hard and continually face new challenges, it would is a great place to be.",,,3,4,4,4,5
